2100,220022012202220322042205220622082209220A,raw,220022012202220322042205220622082209220A,Gauging group data list
2101,022C015E003C0A0201808200,raw,022C015E003C0A0201808200,Gauging group data values
2102,228022812282228322842289,raw,228022812282228322842289,Maintenance group data list
2103,020C64000600,raw,020C64000600,Maintenance group data values
2104,2300230123022303230423052306230723082309230A230B230C230D230F231023112312231423172318231A231B231C231D232123232325232623272329232A232D232F233023332334233A23412343234423452346234723482349234A234B234D234E235023512352235323542357236123642365236623682369236C236D236E23702371237223732375237623782379237A237B237C237D237F23802381238723882389238B238C238D238F2392239423952399239B239C239D239E23A023A223A323A623A923AB23AE23B123B223B423B523B623B7242A23BB23BF23C023C223C723C823CC23CD23CE23D023D123D223D323D523D823DB23DC23E223E323E423E523E623E823E923EA23EC23EE23F623F923FC23FD23FE2409240D240E240F241424152418242424252427243124322437243A244C244D24512452245324552456245C2468246C24702471247224732475247A24792478247C247D2481248424862487248A249124922499,raw,2300230123022303230423052306230723082309230A230B230C230D230F231023112312231423172318231A231B231C231D232123232325232623272329232A232D232F233023332334233A23412343234423452346234723482349234A234B234D234E235023512352235323542357236123642365236623682369236C236D236E23702371237223732375237623782379237A237B237C237D237F23802381238723882389238B238C238D238F2392239423952399239B239C239D239E23A023A223A323A623A923AB23AE23B123B223B423B523B623B7242A23BB23BF23C023C223C723C823CC23CD23CE23D023D123D223D323D523D823DB23DC23E223E323E423E523E623E823E923EA23EC23EE23F623F923FC23FD23FE2409240D240E240F241424152418242424252427243124322437243A244C244D24512452245324552456245C2468246C24702471247224732475247A24792478247C247D2481248424862487248A249124922499,Secured configuration settings group data list
2105,13340000000B8002001221C1011020138500DD021A80A00A5E04400081403020101010201858000200408000000008E0040420401000050812000101008280C09806034040000C0006000040000060E00802010001000000,raw,13340000000B8002001221C1011020138500DD021A80A00A5E04400081403020101010201858000200408000000008E0040420401000050812000101008280C09806034040000C0006000040000060E00802010001000000,Secured configuration settings data values
2106,Request out of range,cmd answer,7F2231,Secured configuration settings group data list 2
2200,02,hex,02,Fuel level measurement algorithm
2201,2C,int,2C,Tank capacity in liters
2202,015E,int,015E,The resistance of the fuel level sensor with an empty tank
2203,003C,int,003C,The resistance of the fuel level sensor with a full tank
2204,0A,int,0A,Gauging law (Alert level)
2205,02,hex,02,Selecting the mode of monitoring the level of motor oil
2206,01,hex,01,Source of oil level
2207,Request out of range,cmd answer,7F2231,Source of oil pressure information
2208,01,hex,01,Source of oil temperature
2209,01,hex,01,The presence and type of oil pressure sensor
220A,04,int,04,Critical fuel level
2288,Request out of range,cmd answer,7F2231,Threshold Average life
2300,13,hex,13,The presence of assistance systems for parking / controlling blind areas / control of the strip
2301,00,bool,00,The presence of a trailer switching unit (TSB)
2302,00,bool,00,The sound signal of the Assistance System for Parking is supplied with a steering wheel switch
2303,01,bool,01,Parking system with visual alarm
2304,01,bool,01,The presence of a passenger airbag
2305,00,hex,00,Type of installation of security alarms
2306,01,hex,01,Security alarm volume control system
2307,00,hex,00,The presence and number of hatches in the roof
2308,00,bool,00,Car with right handside drive
2309,00,hex,00,Type of security alarm
230A,00,hex,00,Key type
230B,05,int,05,The number of warning signs that seat belts are not fastened
230C,01,bool,01,Front passenger presence sensor
230D,01,bool,01,The presence of a seat belt warning bar in the LIN network
230E,Request out of range,cmd answer,7F2231,Detection of an fixed seat belt of the driver (No Checkmark = yes)
230F,00,bool,00,Detection of an fixed seat belt of the front passenger (No Checkmark = yes)
2310,00,bool,00,Detection of an fixed passenger seat belt of the central rear seat (No Checkmark = yes)
2311,00,bool,00,Detection of an fixed passenger seat belt of the right rear seat (No Checkmark = yes)
2312,00,bool,00,Detection of an fixed passenger seat belt of the left rear seat (No Checkmark = yes)
2313,Request out of range,cmd answer,7F2231,Detection of an fixed seat belt of the third row of seats (No Checkmark = yes)
2314,00,bool,00,Option: Multifunctional display
2315,Request out of range,cmd answer,7F2231,The presence of a matrix display
2316,Request out of range,cmd answer,7F2231,Stop and Start function
2317,00,bool,00,Display of information on fuel consumption without taking into account excess consumption due to regeneration of the particulate filter
2318,01,hex,01,Climate type
2319,Request out of range,cmd answer,7F2231,The presence of seats with heating
231A,00,hex,00,Type of gearbox
231B,00,hex,00,Type of launch
231C,00,hex,00,Type of combustion engine
231D,02,hex,02,Tire pressure control type
231E,Request out of range,cmd answer,7F2231,Light sensor
231F,Request out of range,cmd answer,7F2231,The presence of a lighting control knob with 4 positions
2320,Request out of range,cmd answer,7F2231,Option: Track lighting
2321,00,bool,00,Option: Training car
2322,Request out of range,cmd answer,7F2231,Type of individual settings menu
2323,01,bool,01,The presence of front fog lights
2324,Request out of range,cmd answer,7F2231,Type of cornering lighting
2325,10,hex,10,Type of head lighting
2326,01,bool,01,The presence of a feature of high-beam switching function: Smart-Beam lighting (HBA/CAFR)
2327,01,bool,01,The presence of the interior lighting and entry into the car function
2328,Request out of range,cmd answer,7F2231,Rain sensor
2329,01,bool,01,The presence of headlight washers
232A,04,hex,04,Type of daylight running lights
232B,Request out of range,cmd answer,7F2231,Simultaneous activation of daytime running lights and side lights
232C,Request out of range,cmd answer,7F2231,Lighting on the default daylight
232D,04,hex,04,The presence and type of additive in diesel fuel
232E,Request out of range,cmd answer,7F2231,The presence of a special high-frequency receiver (Japan)
232F,00,bool,00,Passenger door lock
2330,01,bool,01,Option: Closing windows using a remote control and key
2331,Request out of range,cmd answer,7F2231,Type of additional heating system
2332,Request out of range,cmd answer,7F2231,Generator type
2333,02,hex,02,Type of battery
2334,01,hex,01,Battery charge assessment function
2338,Request out of range,cmd answer,7F2231,Air mixing type
2339,Request out of range,cmd answer,7F2231,Option: Module for memorizing the position of the passenger seat
233A,00,bool,00,Audio system amplifier
233B,Request out of range,cmd answer,7F2231,The presence of a block of the corrector of the height of the rear part (pneumatic suspension)
233C,Request out of range,cmd answer,7F2231,The presence of air conditioning
233D,Request out of range,cmd answer,7F2231,The presence of an auxiliary electric brake
233E,Request out of range,cmd answer,7F2231,Option: remembering driver's seat adjustments
233F,Request out of range,cmd answer,7F2231,The presence of a programmable cruise control system
2340,Request out of range,cmd answer,7F2231,Option: a warning system for unintentional intersection of road marking lines
2341,00,bool,00,The presence of a system display system in the field of view of the driver
2342,Request out of range,cmd answer,7F2231,The presence of a telematics block
2343,01,bool,01,The presence of parking lights (lateral designation of dimensions)
2344,01,bool,01,Dynamic stabilization system (ESP)
2345,01,bool,01,The presence of an outdoor temperature sensor
2346,00,bool,00,Diesel-fuel water sensor
2347,14,int,14,"Correction of the difference between the speed set for cruise control, and speed by speedometer in km/h (multiply the value by 10)"
2348,03,hex,03,The presence and type of regulator/speed limiter
2349,00,bool,00,Warning about speeding for countries of the Arabian Peninsula
234A,01,bool,01,Multiplex front windows
234B,01,bool,01,The presence of four power windows with anti-pinch function or two front windows with anti-pinch function (if the rear windows are not electric)
234C,Request out of range,cmd answer,7F2231,The presence of the driver's meeting
234D,01,bool,01,"External mirrors with electric and folding, controlled by an intellectual switching unit (BSI)"
234E,00,bool,00,The presence of an massage option
234F,Request out of range,cmd answer,7F2231,"Automatic backlighting of the dashboard and multifunctional display, depending on the brightness of the outdoor lighting"
2350,810D,hex,810D,Type of car
2351,01,hex,01,Availability and type of function of the children's protection system
2352,01,hex,01,Type of locking
2353,01,hex,01,Type of locking/unlocking door locks
2354,00,hex,00,The function of the third button of the high-frequency remote control
2357,01,hex,01,Type of pressing the third remote control button
2360,Request out of range,cmd answer,7F2231,The presence of an additional head lighting function using fog lights
2361,00,bool,00,The presence of the function of turning on ventilation from the remote control
2362,Request out of range,cmd answer,7F2231,Front headlights with daytime running lights
2364,01,bool,01,The presence of power steering
2365,00,bool,00,Activating THATCHAM mode
2366,00,bool,00,The presence of a service module (MDS) or autonomous telematics unit (BTA)
2367,Request out of range,cmd answer,7F2231,The presence of rear fog lights
2368,01,bool,01,The presence of the rear left fog light
2369,00,bool,00,The presence of the rear right fog light
236A,Request out of range,cmd answer,7F2231,The presence of left reversing light
236B,Request out of range,cmd answer,7F2231,The presence of right reversing light
236C,01,bool,01,The presence of a multifunctional camera (CMF)
236D,01,bool,01,The presence of rain / light lighting sensor on the LIN network
236E,01,bool,01,The presence of outer side backlight
236F,Request out of range,cmd answer,7F2231,the presence of a computer switch
2370,01,bool,01,The presence of an indicator of the recommended transmission (gearbox)
2371,00,bool,00,The presence of a driver's seat with an electrical control included in the intellectual switching unit (BSI)
2372,00,bool,00,The presence of a passenger seat with an electrical control included in the intellectual switching unit (BSI)
2373,08,hex,08,Availability and type of driving assistance system (AFIL / SAM)
2375,01,bool,01,Preservation of braking (system of dynamic stabilization) for 2 seconds at the beginning of movement on the slope
2376,00,hex,00,The presence and type of sensor of the supplied air
2378,02,hex,02,Sunlight sensor type
2379,00,bool,00,The presence of a pollution sensor
237A,0A,int,0A,The threshold value of the speed for automatic blocking in movement in km/h
237B,01,hex,01,The position of the temperature sensors of the evaporator
237C,01,hex,01,Type of pressure sensor of the air conditioning system
237D,02,hex,02,Type of air conditioning compressor
237E,Request out of range,cmd answer,7F2231,the presence of heated seats or heated ventilated seats
237F,01,hex,01,Air supply type
2380,01,hex,01,Air mixing type (front air conditioner)
2381,01,hex,01,Air distribution system type
2382,Request out of range,cmd answer,7F2231,Rear interior fan type
2383,Request out of range,cmd answer,7F2231,Air mixing type (rear air conditioner)
